Game #,Move Count,P1 Score,P2 Score,Result,P1 Jumps,P2 Jumps,P1 Start 1,P1 Start 2,P1 Start 3,P2 Start 1,P2 Start 2,P2 Start 3
1,84,43,17,Win,14,15,4 -3 -1,0 4 -4,4 -1 -3,-3 -1 4,-4 2 2,1 3 -4
2,93,39,22,Loss,16,21,-1 3 -2,2 -2 0,0 2 -2,1 -1 0,1 2 -3,-1 -3 4
3,83,36,25,Loss,12,15,2 -4 2,3 -1 -2,-2 1 1,4 -4 0,-2 -2 4,-2 2 0
4,89,43,18,Loss,10,23,1 -3 2,2 2 -4,3 -3 0,4 -4 0,-1 2 -1,-2 -1 3
5,85,33,28,Loss,12,17,1 -4 3,1 1 -2,3 -2 -1,4 -4 0,-3 3 0,2 2 -4
6,86,41,20,Win,11,19,-2 1 1,-2 -2 4,-1 -3 4,0 -4 4,1 2 -3,4 0 -4
7,74,35,24,Win,8,12,0 4 -4,-4 1 3,1 0 -1,4 -3 -1,1 -2 1,-2 1 1
8,80,35,24,Win,11,15,-2 4 -2,-1 4 -3,2 -1 -1,-2 1 1,0 3 -3,3 -4 1
9,74,36,24,Win,7,12,4 -2 -2,0 -2 2,1 3 -4,-3 0 3,1 2 -3,-3 1 2
12,79,30,31,Loss,6,17,-1 -3 4,-1 -2 3,2 -1 -1,3 -2 -1,-2 -2 4,0 4 -4
13,76,39,22,Win,9,11,2 1 -3,-3 4 -1,2 -3 1,-4 3 1,0 0 0,-2 0 2
14,76,34,27,Win,11,9,-3 0 3,1 3 -4,-2 3 -1,-4 4 0,4 -4 0,-4 2 2
15,201,3,3,Tie,100,100,-1 1 0,-4 1 3,1 3 -4,-2 0 2,1 -2 1,0 -1 1
16,86,40,21,Win,10,20,-2 0 2,1 0 -1,-2 1 1,-2 -2 4,1 -3 2,2 -1 -1
17,75,34,27,Loss,7,12,2 -1 -1,1 0 -1,0 1 -1,-1 3 -2,-3 3 0,-1 1 0
18,78,38,23,Win,7,15,0 4 -4,2 1 -3,0 -2 2,-1 0 1,0 2 -2,0 -1 1
19,83,37,24,Loss,10,17,2 -2 0,1 3 -4,-2 0 2,-1 0 1,-3 2 1,1 1 -2
20,4,7,0,Win,1,1,-1 -1 2,-2 -1 3,-4 0 4,-4 3 1,0 -1 1,1 -1 0
21,4,6,0,Win,2,1,1 2 -3,2 2 -4,2 1 -3,-2 2 0,4 -2 -2,3 -1 -2
22,93,44,17,Loss,11,26,-1 -2 3,-1 4 -3,1 -4 3,4 0 -4,-2 4 -2,-4 3 1
23,4,6,0,Win,2,1,4 -2 -2,-4 2 2,-1 -1 2,3 0 -3,-3 4 -1,1 1 -2
24,81,43,18,Loss,8,17,1 1 -2,2 -4 2,4 -2 -2,0 4 -4,-1 -1 2,-2 -2 4
25,77,39,22,Loss,7,14,4 0 -4,-2 4 -2,2 1 -3,0 -3 3,3 1 -4,2 -3 1
26,83,43,18,Loss,9,18,2 0 -2,2 -4 2,-1 -1 2,0 -1 1,3 0 -3,1 1 -2
27,83,43,18,Loss,9,18,-2 -1 3,-1 -3 4,2 1 -3,-1 0 1,-4 0 4,-2 0 2
28,78,35,26,Win,10,12,-2 -1 3,1 1 -2,-4 3 1,3 -1 -2,-3 -1 4,4 -2 -2
29,78,38,23,Win,6,16,-3 0 3,-4 2 2,-4 3 1,0 -4 4,4 -2 -2,1 2 -3
30,82,34,27,Win,12,14,-4 1 3,-1 -3 4,1 1 -2,-2 -2 4,-3 4 -1,2 -1 -1
31,4,7,0,Win,1,1,4 -4 0,-2 0 2,3 0 -3,1 -1 0,0 -1 1,0 3 -3
32,75,37,24,Loss,9,10,1 -2 1,2 -4 2,3 -1 -2,-4 2 2,-3 -1 4,-3 4 -1
33,14,13,0,Win,1,5,3 0 -3,-1 3 -2,-2 3 -1,3 -3 0,-2 -1 3,0 4 -4
34,70,37,22,Win,7,9,3 -4 1,-1 -3 4,2 0 -2,-4 1 3,-2 -2 4,4 -2 -2
35,90,39,20,Win,16,20,-1 2 -1,-4 4 0,3 0 -3,-2 -1 3,1 -1 0,2 -4 2
36,83,37,24,Loss,10,17,0 0 0,3 -3 0,-1 -3 4,0 -3 3,-3 4 -1,1 1 -2
37,72,35,26,Win,8,8,3 0 -3,-1 -1 2,3 -4 1,-3 0 3,4 -2 -2,3 -1 -2
38,82,33,27,Win,15,12,1 -2 1,-2 0 2,1 1 -2,3 -2 -1,0 4 -4,0 -3 3
39,83,34,27,Loss,13,14,-2 -1 3,0 -2 2,1 3 -4,4 0 -4,-3 0 3,0 -4 4
40,122,41,19,Win,29,38,-1 4 -3,4 0 -4,-4 0 4,0 -3 3,-3 3 0,-4 1 3
